DELIVERY_PERSON_NAME,EMPLOYMENT_TYPE,VEHICLE_TYPE,TOTAL_DELIVERIES,AVG_DELAY,AVG_RATING,ON_TIME_RATE
Stuvan Bera,CONTRACT,SCOOTER,83,0.43,4.04,68.67
Nirvi Kaul,CONTRACT,EV BIKE,109,0.46,3.98,60.55
Kaira Iyengar,FULL-TIME,SCOOTER,124,0.49,3.95,62.90
Aayush Kar,CONTRACT,VAN,139,0.51,3.99,60.43
Hiran Bumb,FULL-TIME,EV BIKE,100,0.37,4.14,71.00
Nehmat Sathe,CONTRACT,BIKE,103,0.37,4.05,70.87
Divij Rao,CONTRACT,VAN,119,0.44,4.04,65.55
Manikya Bhat,CONTRACT,EV BIKE,126,0.47,4.05,60.32
Shaan Gill,FULL-TIME,BIKE,113,0.42,4.01,67.26
Samiha Shankar,CONTRACT,BIKE,119,0.45,4.02,65.55
Rohan Yogi,FULL-TIME,EV BIKE,122,0.44,3.99,66.39
Emir Chaudry,CONTRACT,VAN,86,0.52,3.84,60.47
Neysa Devi,FULL-TIME,VAN,102,0.45,3.96,64.71
Chirag Seshadri,CONTRACT,EV BIKE,121,0.40,4.09,66.94
Umang Kothari,CONTRACT,VAN,119,0.43,4.05,67.23
Tara Kata,FULL-TIME,VAN,76,0.46,3.95,63.16
Badal Kari,FULL-TIME,SCOOTER,125,0.34,4.10,72.80
Pranay Kohli,FULL-TIME,VAN,120,0.43,4.03,68.33
Alisha Warrior,CONTRACT,EV BIKE,112,0.46,4.03,61.61
Dhruv Kadakia,FULL-TIME,EV BIKE,139,0.45,3.99,64.03
Baiju Chaudhry,CONTRACT,SCOOTER,137,0.61,3.79,55.47
Nirvaan Zachariah,CONTRACT,BIKE,92,0.34,4.11,71.74
Riaan Chaudhry,FULL-TIME,VAN,89,0.36,4.18,69.66
Indrajit Bath,CONTRACT,BIKE,106,0.56,3.92,57.55
Manikya Sachdeva,FULL-TIME,BIKE,84,0.45,3.95,64.29
Himmat Saini,CONTRACT,VAN,104,0.46,3.93,66.35
Umang Rajan,CONTRACT,BIKE,144,0.38,4.10,68.75
Advik Walia,CONTRACT,SCOOTER,92,0.47,4.00,63.04
Nakul D’alia,CONTRACT,VAN,131,0.57,3.87,54.20
Zaina Bhandari,FULL-TIME,VAN,128,0.31,4.14,75.78
Zara Sabharwal,FULL-TIME,EV BIKE,117,0.51,3.95,57.26
Samiha Dhingra,FULL-TIME,BIKE,153,0.45,3.95,65.36
Aniruddh Tank,FULL-TIME,VAN,93,0.46,4.00,60.22
Gokul Mammen,FULL-TIME,EV BIKE,112,0.49,3.95,62.50
Urvi Bala,CONTRACT,SCOOTER,94,0.47,3.95,67.02
Madhav Mani,FULL-TIME,BIKE,105,0.54,3.91,61.90
Aayush Vyas,CONTRACT,SCOOTER,139,0.47,4.00,62.59
Rania Kothari,CONTRACT,VAN,108,0.44,3.96,62.96
Zara Bahri,FULL-TIME,BIKE,104,0.49,3.94,58.65
Zaina Kurian,CONTRACT,BIKE,121,0.57,3.87,58.68
Siya Kala,FULL-TIME,EV BIKE,130,0.48,4.01,61.54
Nitya Rajan,FULL-TIME,EV BIKE,135,0.47,3.98,62.96
Taran Cherian,CONTRACT,VAN,80,0.40,4.00,67.50
Hunar Khalsa,CONTRACT,VAN,117,0.51,4.00,64.10
Madhup Wali,FULL-TIME,VAN,98,0.36,4.11,71.43
Kavya Walia,FULL-TIME,BIKE,99,0.33,4.13,76.77
Saanvi Shanker,FULL-TIME,SCOOTER,124,0.46,3.98,65.32
Hrishita Deol,CONTRACT,EV BIKE,127,0.45,3.99,65.35
Tanya Bali,FULL-TIME,EV BIKE,95,0.43,3.99,67.37
Hridaan Kapadia,CONTRACT,SCOOTER,109,0.50,3.99,57.80
Akarsh Kala,FULL-TIME,EV BIKE,94,0.45,4.06,62.77
Siya Iyengar,FULL-TIME,SCOOTER,82,0.48,3.87,64.63
Rhea Ben,FULL-TIME,VAN,103,0.49,3.90,62.14
Raghav Chad,FULL-TIME,BIKE,124,0.56,3.82,58.87
Krish Sabharwal,FULL-TIME,EV BIKE,102,0.37,4.11,67.65
Badal Shenoy,CONTRACT,EV BIKE,115,0.42,4.06,65.22
Samiha Halder,CONTRACT,VAN,101,0.43,3.98,65.35
Neelofar Sagar,FULL-TIME,BIKE,89,0.56,3.88,52.81
Vritika Kumer,CONTRACT,BIKE,110,0.41,4.04,65.45
Elakshi Dugal,CONTRACT,BIKE,80,0.38,4.12,68.75
Jhanvi Lanka,CONTRACT,BIKE,100,0.38,4.09,72.00
Mamooty Gokhale,FULL-TIME,SCOOTER,116,0.43,3.98,67.24
Adira Sane,CONTRACT,EV BIKE,148,0.41,4.03,67.57
Nayantara Kaur,CONTRACT,VAN,105,0.46,3.96,66.67
Eshani Raj,FULL-TIME,EV BIKE,118,0.42,4.09,64.41
Vivaan Grewal,FULL-TIME,BIKE,85,0.42,4.03,65.88
Amani Brar,CONTRACT,BIKE,109,0.50,3.90,63.30
Aarush Dewan,FULL-TIME,SCOOTER,109,0.30,4.16,74.31
Samarth Sunder,CONTRACT,BIKE,120,0.45,4.03,62.50
Madhup Dara,FULL-TIME,BIKE,327,0.44,3.99,65.14
Riya Sampath,FULL-TIME,BIKE,104,0.42,4.01,66.35
Hansh Sekhon,CONTRACT,BIKE,101,0.38,4.12,67.33
Keya Taneja,FULL-TIME,SCOOTER,105,0.37,4.10,70.48
Jivika Sandal,CONTRACT,EV BIKE,111,0.45,4.02,65.77
Biju Singh,CONTRACT,BIKE,87,0.34,4.11,72.41
Kavya Gara,CONTRACT,SCOOTER,96,0.53,3.92,58.33
Emir Ratti,FULL-TIME,EV BIKE,82,0.35,4.13,68.29
Yashvi Bobal,FULL-TIME,EV BIKE,112,0.53,3.86,60.71
Jhanvi Saran,CONTRACT,VAN,109,0.44,4.10,65.14
Lagan Zachariah,CONTRACT,EV BIKE,121,0.57,3.81,57.02
Tiya Gill,FULL-TIME,BIKE,127,0.39,4.13,67.72
Misha Shenoy,FULL-TIME,SCOOTER,118,0.43,3.94,66.95
Uthkarsh Sant,FULL-TIME,VAN,82,0.52,3.92,57.32
Ela Chakrabarti,FULL-TIME,SCOOTER,128,0.50,3.94,59.38
Lagan Varughese,CONTRACT,EV BIKE,95,0.52,3.97,63.16
Aaina Subramaniam,CONTRACT,VAN,95,0.38,4.05,71.58
Fateh Dutt,FULL-TIME,EV BIKE,103,0.56,3.86,57.28
Samarth Boase,FULL-TIME,VAN,95,0.42,4.07,65.26
Hunar Goswami,FULL-TIME,BIKE,95,0.56,3.86,56.84
Aaina Sahni,FULL-TIME,VAN,91,0.52,3.88,61.54
Manjari Ramanathan,FULL-TIME,BIKE,108,0.41,4.02,69.44
Anvi Sur,FULL-TIME,EV BIKE,109,0.57,3.80,60.55
Shamik Sundaram,FULL-TIME,VAN,99,0.54,3.91,58.59
Jayan Iyengar,FULL-TIME,VAN,111,0.51,3.89,58.56
Sumer Singhal,FULL-TIME,BIKE,121,0.42,4.09,66.94
Zoya Dugal,CONTRACT,SCOOTER,153,0.49,3.95,64.71
Elakshi Keer,CONTRACT,BIKE,100,0.38,4.07,69.00
Yuvraj  Arya,CONTRACT,BIKE,106,0.40,4.06,66.04
Myra Kala,FULL-TIME,BIKE,135,0.44,4.02,65.93
Krish Setty,FULL-TIME,SCOOTER,96,0.43,4.09,65.63
Riya Din,FULL-TIME,VAN,128,0.41,4.04,67.97
Alisha Gandhi,FULL-TIME,VAN,130,0.45,3.95,66.92
Kartik Devi,FULL-TIME,EV BIKE,112,0.42,4.06,66.07
Suhana Basu,FULL-TIME,EV BIKE,196,0.44,4.00,65.31
Myra Goel,FULL-TIME,SCOOTER,98,0.40,4.04,70.41
Zain Gopal,CONTRACT,VAN,120,0.44,4.01,67.50
Anika Chanda,CONTRACT,SCOOTER,104,0.47,4.00,61.54
Indrans Kari,FULL-TIME,VAN,111,0.42,4.03,66.67
Zara Gaba,CONTRACT,EV BIKE,83,0.48,3.89,63.86
Alisha Vora,CONTRACT,BIKE,149,0.48,3.95,63.76
Krish Randhawa,CONTRACT,SCOOTER,106,0.50,3.98,61.32
Anay Bajwa,FULL-TIME,EV BIKE,102,0.37,4.12,68.63
Inaaya  Kamdar,FULL-TIME,EV BIKE,116,0.40,4.02,68.97
Nehmat Jani,CONTRACT,SCOOTER,106,0.39,4.09,68.87
Riaan Mander,FULL-TIME,BIKE,118,0.36,4.08,72.03
Zaina Shan,FULL-TIME,BIKE,103,0.50,4.00,63.11
Samar Johal,FULL-TIME,SCOOTER,95,0.42,4.05,66.32
Dishani Setty,CONTRACT,BIKE,126,0.47,3.97,65.87
Dhanush Dalal,CONTRACT,EV BIKE,118,0.37,4.08,68.64
Gatik Kothari,CONTRACT,VAN,153,0.37,4.14,69.93
Hridaan Dave,CONTRACT,SCOOTER,100,0.47,4.06,64.00
Kimaya Kaur,FULL-TIME,BIKE,123,0.49,3.99,62.60
Tarini Bhalla,CONTRACT,BIKE,91,0.49,3.93,60.44
Diya Kapadia,FULL-TIME,EV BIKE,71,0.45,4.05,66.20
Romil Grewal,CONTRACT,BIKE,91,0.36,4.17,68.13
Trisha Dara,FULL-TIME,SCOOTER,101,0.45,3.96,66.34
Kimaya Mani,FULL-TIME,SCOOTER,99,0.39,4.06,69.70
Yashvi Dass,CONTRACT,SCOOTER,167,0.44,4.04,64.07
Baiju Sodhi,FULL-TIME,BIKE,122,0.39,4.10,69.67
Vedika Upadhyay,FULL-TIME,EV BIKE,113,0.34,4.13,71.68
Taran Srinivas,FULL-TIME,VAN,81,0.33,4.15,71.60
Amira Gokhale,CONTRACT,SCOOTER,119,0.43,3.97,63.87
Siya Din,FULL-TIME,VAN,128,0.46,3.96,64.06
Raghav Ratta,FULL-TIME,EV BIKE,96,0.43,4.04,65.63
Divij Upadhyay,CONTRACT,VAN,94,0.44,4.05,67.02
Jivin Hegde,FULL-TIME,VAN,108,0.53,3.95,57.41
Advik Hayre,FULL-TIME,VAN,97,0.45,4.12,67.01
Raghav Doctor,CONTRACT,SCOOTER,81,0.36,4.10,71.60
Shamik Batra,CONTRACT,EV BIKE,106,0.44,3.99,67.92
Jivin Ratta,CONTRACT,EV BIKE,101,0.34,4.03,72.28
Himmat Thakkar,CONTRACT,SCOOTER,80,0.68,3.72,46.25
Hazel Samra,FULL-TIME,SCOOTER,112,0.39,4.07,67.86
Yuvraj  Desai,FULL-TIME,VAN,115,0.58,3.75,58.26
Riya Borra,FULL-TIME,EV BIKE,114,0.46,3.93,65.79
Lavanya Dugal,CONTRACT,SCOOTER,110,0.47,4.04,62.73
Romil Hora,FULL-TIME,BIKE,123,0.38,4.06,69.92
Jivika Sarraf,FULL-TIME,VAN,102,0.46,3.99,66.67
Drishya Kurian,CONTRACT,EV BIKE,121,0.44,4.09,64.46
Sumer Bhagat,FULL-TIME,EV BIKE,93,0.47,4.01,63.44
Divit Mannan,CONTRACT,VAN,108,0.41,4.06,65.74
Kashvi Chopra,FULL-TIME,SCOOTER,93,0.49,3.88,61.29
Sumer Kala,FULL-TIME,VAN,110,0.49,3.85,65.45
Hridaan Swamy,FULL-TIME,VAN,106,0.45,3.98,64.15
Shray Vaidya,FULL-TIME,EV BIKE,86,0.49,3.91,65.12
Jayan Doctor,FULL-TIME,EV BIKE,125,0.43,4.03,64.00
Advika Ben,CONTRACT,BIKE,121,0.45,3.97,64.46
Eva Garg,CONTRACT,EV BIKE,101,0.37,4.09,72.28
Ojas Dar,CONTRACT,VAN,90,0.49,3.98,62.22
Kartik Bora,CONTRACT,SCOOTER,87,0.44,3.95,66.67
Renee Bera,FULL-TIME,EV BIKE,84,0.55,3.91,57.14
Gatik Lanka,FULL-TIME,SCOOTER,114,0.50,3.91,64.04
Aniruddh Singh,CONTRACT,SCOOTER,121,0.40,4.02,66.12
Kiara Suri,CONTRACT,VAN,121,0.45,4.03,64.46
Umang Subramanian,FULL-TIME,BIKE,107,0.49,4.00,59.81
Jayan Sharma,FULL-TIME,SCOOTER,109,0.39,4.05,70.64
Romil Kar,FULL-TIME,BIKE,125,0.58,3.87,55.20
Anaya Dora,FULL-TIME,BIKE,97,0.46,3.93,62.89
Jayant Khurana,FULL-TIME,VAN,123,0.37,4.10,69.11
Krish Randhawa,CONTRACT,EV BIKE,98,0.44,4.06,67.35
Raghav Ahuja,CONTRACT,SCOOTER,91,0.44,4.04,61.54
Zara Kale,FULL-TIME,EV BIKE,138,0.47,3.96,64.49
Aarush Madan,FULL-TIME,SCOOTER,102,0.48,3.92,62.75
Anya Hayre,FULL-TIME,BIKE,99,0.46,3.93,65.66
Jayant Badal,CONTRACT,EV BIKE,124,0.53,3.90,59.68
Yasmin Sachdev,CONTRACT,VAN,115,0.33,4.10,73.04
Krish Choudhry,FULL-TIME,VAN,92,0.51,3.93,60.87
Nishith Rout,FULL-TIME,SCOOTER,116,0.58,3.81,57.76
Anahi Dash,FULL-TIME,SCOOTER,134,0.42,4.02,67.91
Pranay Borah,CONTRACT,BIKE,131,0.45,4.03,65.65
Sahil Lanka,FULL-TIME,VAN,114,0.44,3.99,64.91
Hansh Rege,FULL-TIME,BIKE,76,0.37,4.10,68.42
Ranbir Chhabra,FULL-TIME,EV BIKE,103,0.42,4.07,66.99
Navya Ravel,CONTRACT,EV BIKE,97,0.47,3.95,64.95
Dharmajan Bose,FULL-TIME,EV BIKE,128,0.48,3.97,62.50
Mohanlal Sarma,FULL-TIME,BIKE,138,0.49,4.02,62.32
Kabir Baral,FULL-TIME,EV BIKE,88,0.52,3.87,59.09
Alisha Bedi,CONTRACT,VAN,92,0.39,4.06,69.57
Ira Wali,CONTRACT,SCOOTER,129,0.53,3.94,58.14
Hazel Sarin,CONTRACT,VAN,110,0.41,4.06,69.09
Dishani Bhardwaj,CONTRACT,SCOOTER,107,0.41,4.02,69.16
Hrishita Chacko,CONTRACT,EV BIKE,81,0.31,4.20,74.07
Bhamini Dalal,CONTRACT,VAN,118,0.42,4.03,63.56
Jayan Dhillon,FULL-TIME,SCOOTER,117,0.52,3.87,58.97
Trisha Majumdar,CONTRACT,BIKE,109,0.41,4.11,63.30
Mannat Bose,FULL-TIME,SCOOTER,75,0.60,3.82,54.67
Prerak Kale,CONTRACT,VAN,93,0.41,3.95,69.89
Lakshit Tripathi,CONTRACT,EV BIKE,122,0.34,4.17,70.49
Neelofar Kalla,CONTRACT,SCOOTER,110,0.48,3.88,63.64
Samaira Sehgal,CONTRACT,EV BIKE,80,0.31,4.17,75.00
Onkar Dora,CONTRACT,BIKE,100,0.38,4.08,70.00
Aniruddh Taneja,CONTRACT,VAN,117,0.29,4.20,72.65
Adah Goel,CONTRACT,VAN,125,0.48,3.96,62.40
Mahika Contractor,FULL-TIME,BIKE,110,0.53,3.90,62.73
Taran Grover,CONTRACT,BIKE,112,0.49,3.95,65.18
Divij Dar,FULL-TIME,SCOOTER,104,0.41,4.10,64.42
Hiran Tripathi,CONTRACT,EV BIKE,105,0.48,3.95,64.76
Gatik Sawhney,CONTRACT,BIKE,85,0.53,3.92,61.18
Saanvi Sarin,FULL-TIME,SCOOTER,151,0.43,3.99,62.91
Kimaya Chad,CONTRACT,VAN,125,0.37,4.08,72.00
Tara Lala,FULL-TIME,BIKE,104,0.43,4.03,65.38
Gokul Rege,CONTRACT,SCOOTER,89,0.39,4.07,66.29
Ishita Arora,FULL-TIME,VAN,120,0.43,3.99,65.00
Jivin Sekhon,CONTRACT,BIKE,112,0.51,3.94,61.61
Vivaan Sethi,FULL-TIME,EV BIKE,96,0.51,4.00,59.38
Vaibhav Dada,CONTRACT,BIKE,107,0.42,4.06,65.42
Zaina Raval,FULL-TIME,VAN,118,0.49,3.93,65.25
Suhana Handa,CONTRACT,SCOOTER,125,0.42,4.05,67.20
Trisha Doctor,CONTRACT,VAN,115,0.40,4.06,66.96
Kashvi Jain,CONTRACT,VAN,121,0.43,4.06,66.94
Prisha Bhargava,FULL-TIME,BIKE,74,0.38,4.08,68.92
Taimur Sharaf,CONTRACT,VAN,111,0.47,3.97,63.96
Indrajit Bhatti,CONTRACT,EV BIKE,91,0.44,4.03,69.23
Abram Kata,CONTRACT,SCOOTER,123,0.37,4.13,69.11
Vaibhav Lall,CONTRACT,BIKE,131,0.51,3.88,61.83
Piya Karpe,FULL-TIME,SCOOTER,115,0.49,3.99,64.35
Ivan Ravel,CONTRACT,BIKE,101,0.37,4.07,70.30
Miraan Wadhwa,FULL-TIME,SCOOTER,117,0.38,4.06,70.09
Jayant Chhabra,CONTRACT,VAN,108,0.49,3.94,59.26
Hridaan Bandi,CONTRACT,SCOOTER,112,0.51,3.92,63.39
Mamooty Rattan,FULL-TIME,EV BIKE,124,0.58,3.80,56.45
Indrajit Shetty,FULL-TIME,SCOOTER,86,0.52,3.93,60.47
Badal Sanghvi,FULL-TIME,EV BIKE,132,0.38,4.08,68.18
Shamik Wali,FULL-TIME,BIKE,121,0.46,4.00,64.46
Shanaya Varughese,CONTRACT,EV BIKE,122,0.52,3.95,60.66
Anaya Bhat,CONTRACT,VAN,128,0.35,4.12,70.31
Onkar Balan,FULL-TIME,BIKE,115,0.47,4.07,63.48
Jivika Bhandari,CONTRACT,EV BIKE,120,0.39,4.01,66.67
Shanaya Sandal,CONTRACT,VAN,106,0.34,4.07,74.53
Tara Lanka,FULL-TIME,EV BIKE,111,0.44,4.02,68.47
Taran Char,CONTRACT,BIKE,122,0.43,4.05,67.21
Biju Boase,CONTRACT,EV BIKE,94,0.44,4.09,69.15
Umang Gade,CONTRACT,BIKE,144,0.47,3.98,65.28
Gatik Balakrishnan,CONTRACT,EV BIKE,97,0.39,4.14,69.07
Kashvi Sengupta,FULL-TIME,BIKE,127,0.48,3.99,61.42
Purab Bhatia,CONTRACT,VAN,107,0.54,3.80,57.01
Eva Bhatia,FULL-TIME,BIKE,96,0.49,3.91,62.50
Shlok Kaul,FULL-TIME,VAN,139,0.50,3.91,64.03
Jayesh Bora,CONTRACT,BIKE,103,0.45,3.99,65.05
Veer Karpe,FULL-TIME,VAN,110,0.41,4.02,66.36
Heer Wali,FULL-TIME,EV BIKE,126,0.36,4.11,69.84
Ishaan Badal,CONTRACT,EV BIKE,105,0.50,3.88,62.86
Prisha Mahajan,CONTRACT,BIKE,115,0.45,4.01,65.22
Trisha Deol,CONTRACT,SCOOTER,102,0.47,4.01,62.75
Oorja Saxena,CONTRACT,VAN,95,0.35,4.11,70.53
Baiju Chaudhari,CONTRACT,SCOOTER,88,0.50,4.01,57.95
Dharmajan Chada,CONTRACT,EV BIKE,110,0.51,3.88,63.64
Ira Barad,CONTRACT,EV BIKE,114,0.46,4.01,58.77
Trisha Sant,CONTRACT,BIKE,92,0.43,4.03,65.22
Sara Mane,CONTRACT,VAN,85,0.53,3.90,61.18
Manikya Bhatti,CONTRACT,EV BIKE,125,0.35,4.09,71.20
Alisha Karan,CONTRACT,SCOOTER,111,0.57,3.79,59.46
Ela Dhar,CONTRACT,EV BIKE,86,0.47,3.96,66.28
Elakshi Bora,FULL-TIME,EV BIKE,110,0.37,4.08,70.91
Amira Sani,CONTRACT,SCOOTER,102,0.46,3.97,59.80
Devansh Cherian,CONTRACT,SCOOTER,105,0.31,4.23,72.38
Madhup Gola,FULL-TIME,SCOOTER,105,0.57,3.83,56.19
Amira Sani,FULL-TIME,EV BIKE,109,0.45,4.02,64.22
Pihu Chaudhari,CONTRACT,VAN,95,0.46,3.94,66.32
Alia Majumdar,CONTRACT,SCOOTER,98,0.47,4.04,61.22
Shlok Choudhury,CONTRACT,EV BIKE,98,0.48,4.00,64.29
Khushi Rau,CONTRACT,SCOOTER,96,0.49,3.97,58.33
Jayan Khare,CONTRACT,SCOOTER,94,0.49,3.90,62.77
Vardaniya Ramesh,FULL-TIME,VAN,96,0.48,4.04,62.50
Inaaya  Tata,FULL-TIME,VAN,94,0.37,4.09,72.34
Akarsh Tella,FULL-TIME,VAN,102,0.44,3.97,67.65
Hridaan Agarwal,FULL-TIME,EV BIKE,105,0.50,3.95,63.81
Tushar Kapur,FULL-TIME,VAN,88,0.33,4.14,71.59
Yuvraj  Sharma,CONTRACT,SCOOTER,125,0.54,3.87,58.40
Shaan Thakur,FULL-TIME,SCOOTER,92,0.47,3.99,65.22
Raghav Sangha,CONTRACT,BIKE,98,0.47,4.05,66.33
Ayesha Luthra,FULL-TIME,BIKE,97,0.44,3.94,64.95
Faiyaz Kumer,CONTRACT,BIKE,103,0.35,4.15,69.90
Ayesha Khare,CONTRACT,EV BIKE,102,0.49,3.95,61.76
Nehmat Bakshi,CONTRACT,EV BIKE,77,0.34,4.13,71.43
Farhan Bassi,FULL-TIME,EV BIKE,77,0.38,4.12,71.43
Aaryahi Kala,FULL-TIME,VAN,76,0.57,3.82,59.21
Yuvaan Bora,CONTRACT,VAN,125,0.46,3.97,65.60
Advik Tata,CONTRACT,VAN,79,0.29,4.17,74.68
Vihaan Walia,CONTRACT,BIKE,93,0.53,3.90,59.14
Hunar Bhasin,CONTRACT,BIKE,101,0.50,3.96,65.35
Rhea Dhingra,CONTRACT,EV BIKE,97,0.56,3.91,54.64
Ira Sarin,FULL-TIME,SCOOTER,90,0.41,4.11,65.56
Indrans Sampath,CONTRACT,EV BIKE,132,0.48,3.98,64.39
Jivika Lanka,CONTRACT,BIKE,130,0.38,4.09,64.62
Drishya Babu,CONTRACT,VAN,91,0.30,4.15,75.82
Zaina Golla,CONTRACT,SCOOTER,86,0.59,3.79,54.65
Kiaan Butala,FULL-TIME,BIKE,114,0.39,4.05,69.30
Tushar Taneja,FULL-TIME,EV BIKE,100,0.41,4.02,66.00
Fateh Bora,CONTRACT,BIKE,87,0.46,4.03,59.77
Aaryahi Srivastava,CONTRACT,BIKE,90,0.36,4.09,73.33
Faiyaz Shankar,FULL-TIME,SCOOTER,116,0.47,3.94,61.21
Sara Saha,CONTRACT,SCOOTER,111,0.40,4.11,68.47
Tushar Bassi,CONTRACT,BIKE,114,0.36,4.09,70.18
Romil Kaur,FULL-TIME,VAN,96,0.36,4.11,70.83
Tara Dutt,FULL-TIME,SCOOTER,97,0.46,4.00,62.89
Taimur Khurana,FULL-TIME,SCOOTER,101,0.39,4.08,70.30
Indranil Magar,FULL-TIME,EV BIKE,113,0.45,3.96,64.60
Biju Kumer,CONTRACT,EV BIKE,103,0.46,3.98,66.02
Saira Andra,FULL-TIME,VAN,113,0.42,3.96,67.26
Tara Hayer,FULL-TIME,EV BIKE,103,0.40,4.11,67.96
Krish Bobal,FULL-TIME,EV BIKE,102,0.60,3.88,53.92
Prisha Sridhar,CONTRACT,SCOOTER,102,0.40,4.07,69.61
Ivana Solanki,CONTRACT,SCOOTER,96,0.44,3.96,66.67
Miraya Mannan,CONTRACT,BIKE,127,0.68,3.71,51.97
Parinaaz Sachdeva,CONTRACT,VAN,100,0.33,4.22,71.00
Hridaan Sarin,FULL-TIME,EV BIKE,108,0.53,3.86,62.96
Mannat Chacko,CONTRACT,EV BIKE,99,0.38,4.11,66.67
Ayesha Malhotra,FULL-TIME,VAN,87,0.40,4.03,67.82
Dhruv Chauhan,CONTRACT,SCOOTER,110,0.50,3.93,63.64
Kaira Kala,FULL-TIME,VAN,124,0.44,3.94,66.94
Vardaniya Uppal,CONTRACT,BIKE,111,0.41,4.12,67.57
Neysa Tata,CONTRACT,BIKE,111,0.43,4.05,67.57
Aradhya Singhal,CONTRACT,BIKE,118,0.37,4.14,70.34
Aaryahi Dhar,FULL-TIME,EV BIKE,94,0.36,4.16,71.28
Vardaniya Viswanathan,FULL-TIME,SCOOTER,108,0.40,4.08,68.52
Akarsh Chauhan,FULL-TIME,VAN,91,0.47,3.94,60.44
Ishaan Anne,CONTRACT,VAN,76,0.49,3.88,61.84
Inaaya  Hayre,FULL-TIME,VAN,106,0.39,4.09,68.87
Mannat Bains,CONTRACT,BIKE,127,0.40,4.04,70.87
Ehsaan Keer,FULL-TIME,BIKE,98,0.50,3.90,61.22
Jhanvi Varty,CONTRACT,VAN,121,0.45,3.98,64.46
Vihaan Hora,CONTRACT,BIKE,96,0.46,3.94,68.75
Drishya Gala,FULL-TIME,VAN,97,0.52,3.92,61.86
